local_order_id,request_sequence,side,action,order_price,quantity,price_tick,has_accepted_lag_id,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,ack_rtt_ns,send_to_finish_us,ack_to_finish_us,send_to_finish_start_state_found,send_to_finish_start_state_id,send_to_finish_start_state_local_ns,send_to_finish_start_state_age_ns,send_to_finish_start_state_any,send_to_finish_start_state_full,send_to_finish_start_state_contra_price,send_to_finish_start_state_contra_volume,send_to_finish_records,send_to_finish_any_records,send_to_finish_full_records,send_to_finish_first_any_id,send_to_finish_first_any_local_ns,send_to_finish_first_full_id,send_to_finish_first_full_local_ns,send_to_finish_best_contra_price,send_to_finish_best_margin_ticks,send_to_finish_max_marketable_volume,send_to_finish_stateful_any,send_to_finish_stateful_full,send_to_finish_stateful_first_any_source,send_to_finish_stateful_first_full_source,after_ack_to_cancel_records,after_ack_to_cancel_any_records,after_ack_to_cancel_full_records,after_ack_to_cancel_first_any_id,after_ack_to_cancel_first_any_local_ns,after_ack_to_cancel_first_full_id,after_ack_to_cancel_first_full_local_ns,after_ack_to_cancel_best_contra_price,after_ack_to_cancel_best_margin_ticks,after_ack_to_cancel_max_marketable_volume,cancel_point_found,cancel_point_id,cancel_point_local_ns,cancel_point_contra_price,cancel_point_contra_volume,cancel_point_any,cancel_point_full,cancel_point_margin_ticks
288230376151712187,444,kSell,kOpenShort,0.35555,28,1e-05,true,2253196650,2253196690,2253196690,2253196690,1781877903764529300,1781877903765272340,1781877903766379912,743040,1850.612,1107.572,true,2253196650,1781877903763464397,1064903,true,false,0.35559,3,1,0,0,,,,,0.35541,-14,,true,false,start_state,,0,0,0,,,,,,,,true,2253196690,1781877903764560711,0.35541,8,false,false,-14
288230376151712208,465,kSell,kOpenShort,0.34683,28,1e-05,true,2253409671,2253409690,2253409729,2253409729,1781878671196568787,1781878671197262860,1781878671198349990,694073,1781.203,1087.13,true,2253409671,1781878671196097040,471747,true,false,0.34687,8,2,0,0,,,,,0.34672,-11,,true,false,start_state,,1,0,0,,,,,0.34646,-37,,true,2253409729,1781878671198070041,0.34646,152,false,false,-37
288230376151712212,469,kSell,kOpenShort,0.35261,28,1e-05,false,2253427934,2253427934,,2253428069,1781878719522759536,1781878719523475897,1781878719536171473,716361,13411.937,12695.576,true,2253427934,1781878719522703478,56058,true,true,0.35265,41,5,2,1,2253427942,1781878719524789369,2253427942,1781878719524789369,0.35265,4,41,true,true,start_state,start_state,5,2,1,2253427942,1781878719524789369,2253427942,1781878719524789369,0.35265,4,41,true,2253428069,1781878719535017381,0.35214,25,false,false,-47
288230376151712220,477,kSell,kOpenShort,0.35443,28,1e-05,true,2253510610,2253510615,2253510729,2253510729,1781879012234498631,1781879012235165564,1781879012243709601,666933,9210.97,8544.037,true,2253510610,1781879012231554546,2944085,true,false,0.35447,16,7,2,0,2253510615,1781879012234913377,,,0.35447,4,16,true,false,start_state,,6,1,0,2253510627,1781879012235865263,,,0.35447,4,16,true,2253510729,1781879012243072409,0.3538,21,false,false,-63
288230376151712226,483,kSell,kOpenShort,0.35484,28,1e-05,false,2253526197,2253526221,,2253526255,1781879098449008025,1781879098450422452,1781879098451424325,1414427,2416.3,1001.873,true,2253526197,1781879098448766136,241889,true,false,0.35488,11,2,0,0,,,,,0.3547,-14,,true,false,start_state,,1,0,0,,,,,0.3541,-74,,true,2253526255,1781879098450954731,0.3541,8,false,false,-74
288230376151712227,484,kBuy,kOpenLong,0.35531,28,1e-05,false,2253528353,2253528353,,2253528353,1781879102481483092,1781879102482061353,1781879102484039366,578261,2556.274,1978.013,true,2253528353,1781879102480541826,941266,true,true,0.35527,225,0,0,0,,,,,,,,true,true,start_state,start_state,0,0,0,,,,,,,,true,2253528353,1781879102480541826,0.35527,225,true,true,4
288230376151712228,485,kBuy,kOpenLong,0.35531,28,1e-05,true,2253528353,2253528387,2253528491,2253528491,1781879102486106883,1781879102486727668,1781879102489132915,620785,3026.032,2405.247,true,2253528353,1781879102480541826,5565057,true,true,0.35527,225,3,0,0,,,,,0.3558,-49,,true,true,start_state,start_state,2,0,0,,,,,0.3558,-49,,true,2253528491,1781879102488525665,0.35587,8,false,false,-56
288230376151712230,487,kBuy,kOpenLong,0.35546,28,1e-05,true,2253537563,2253537563,2253537736,2253537774,1781879153494626943,1781879153495296405,1781879153507735770,669462,13108.827,12439.365,true,2253537563,1781879153494190262,436681,true,false,0.35542,14,6,0,0,,,,,0.35562,-16,,true,false,start_state,,6,0,0,,,,,0.35562,-16,,true,2253537774,1781879153507152635,0.35608,147,false,false,-62
288230376151712243,500,kSell,kOpenShort,0.35382,28,1e-05,true,2253606578,2253606578,2253606589,2253606598,1781879640762965216,1781879640763545670,1781879640764683595,580454,1718.379,1137.925,true,2253606578,1781879640762513478,451738,true,false,0.35386,7,2,0,0,,,,,0.3537,-12,,true,false,start_state,,2,0,0,,,,,0.3537,-12,,true,2253606598,1781879640764656849,0.3537,271,false,false,-12
288230376151712247,504,kBuy,kOpenLong,0.35618,28,1e-05,true,2253631138,2253631140,2253631481,2253631481,1781879857096210443,1781879857096799198,1781879857102282209,588755,6071.766,5483.011,true,2253631138,1781879857095325899,884544,true,false,0.35614,13,6,1,0,2253631140,1781879857096299464,,,0.35614,4,13,true,false,start_state,,5,0,0,,,,,0.35666,-48,,true,2253631481,1781879857101893499,0.35704,14,false,false,-86
