local_order_id,request_sequence,side,action,order_price,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,canonical_category,canonical_signal_marketable,canonical_ack_marketable,canonical_accepted_marketable,canonical_cancelled_marketable,canonical_after_ack_market_records,source_count,source_signal_found_count,source_ack_found_count,source_accepted_found_count,source_cancelled_found_count,source_signal_marketable_count,source_ack_marketable_count,source_accepted_marketable_count,source_cancelled_marketable_count,source_after_ack_marketable_count,source_after_accepted_marketable_count,source_names_cancelled_marketable,source_names_after_ack_marketable,source0_ack_marketable,source0_accepted_marketable,source0_cancelled_marketable,source0_after_ack_market_records,source0_after_accepted_market_records,source1_ack_marketable,source1_accepted_marketable,source1_cancelled_marketable,source1_after_ack_market_records,source1_after_accepted_market_records,source2_ack_marketable,source2_accepted_marketable,source2_cancelled_marketable,source2_after_ack_market_records,source2_after_accepted_market_records,source3_ack_marketable,source3_accepted_marketable,source3_cancelled_marketable,source3_after_ack_market_records,source3_after_accepted_market_records
288230376151712284,541,kSell,kOpenShort,0.36179,2254041865,2254041932,2254041956,2254041956,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712292,549,kBuy,kOpenLong,0.36038,2254109235,2254109304,,2254109644,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712322,579,kBuy,kOpenLong,0.35849,2254371705,2254371705,2254371741,2254371741,marketable_after_ack_before_cancelled,true,true,false,false,1,4,4,4,4,4,4,4,0,0,4,0,,source0;source1;source2;source3,true,false,false,1,0,true,false,false,1,0,true,false,false,1,0,true,false,false,1,0
288230376151712323,580,kBuy,kOpenLong,0.3565,2254377736,2254377779,2254377813,2254377813,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712342,599,kSell,kOpenShort,0.36512,2254572927,2254572927,2254572945,2254572984,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712344,601,kSell,kOpenShort,0.35984,2254595742,2254595769,2254595782,2254595782,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712345,602,kBuy,kOpenLong,0.35969,2254595782,2254595807,2254595849,2254595849,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712351,608,kSell,kOpenShort,0.36033,2254646341,2254646444,,2254646586,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712353,610,kBuy,kOpenLong,0.36044,2254659944,2254659965,2254660013,2254660013,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712357,614,kSell,kOpenShort,0.36044,2254672400,2254672400,2254672849,2254672849,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712358,615,kSell,kOpenShort,0.35938,2254678429,2254678429,2254678507,2254678507,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712359,616,kSell,kOpenShort,0.35513,2254728625,2254728735,2254728855,2254728983,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712360,617,kSell,kOpenShort,0.353,2254751243,2254751243,,2254751326,marketable_after_ack_before_cancelled,true,true,false,false,2,4,4,4,0,4,4,4,0,0,4,0,,source0;source1;source2;source3,true,false,false,2,0,true,false,false,2,0,true,false,false,2,0,true,false,false,2,0
288230376151712361,618,kSell,kOpenShort,0.35202,2254759865,2254759865,2254759949,2254759949,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712415,672,kSell,kOpenShort,0.34965,2255042766,2255042766,2255043067,2255043072,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712425,682,kBuy,kOpenLong,0.34792,2255094785,2255094837,2255094866,2255094866,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712449,706,kBuy,kOpenLong,0.34807,2255270280,2255270394,2255270422,2255270422,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712483,740,kSell,kOpenShort,0.34879,2255688790,2255689507,,2255689770,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712571,828,kBuy,kOpenLong,0.34703,2256273377,2256273377,2256273525,2256273525,marketable_after_ack_before_cancelled,true,true,false,false,1,4,3,3,4,4,3,3,0,0,3,0,,source0;source1;source2,true,false,false,1,0,true,false,false,1,0,true,false,false,1,0,false,false,false,0,0
288230376151712598,855,kBuy,kOpenLong,0.3463,2256598516,2256598516,,2256600032,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,0,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712599,856,kBuy,kOpenLong,0.35471,2256609931,2256610054,,2256610156,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712601,858,kBuy,kOpenLong,0.35599,2256628541,2256628639,2256629144,2256629144,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712603,860,kBuy,kOpenLong,0.35782,2256655243,2256656132,,2256656578,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712604,861,kBuy,kOpenLong,0.35921,2256660924,2256660967,2256661113,2256661113,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712605,862,kBuy,kOpenLong,0.35966,2256662510,2256662519,2256662526,2256662616,marketable_at_accepted_stage_only,true,true,true,false,1,4,4,4,4,4,4,4,4,0,4,0,,source0;source1;source2;source3,true,true,false,1,0,true,true,false,1,0,true,true,false,1,0,true,true,false,1,0
288230376151712608,865,kBuy,kOpenLong,0.35657,2256702541,2256702541,2256702756,2256702756,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712609,866,kSell,kOpenShort,0.3577,2256703517,2256703517,2256703572,2256703572,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712610,867,kBuy,kOpenLong,0.357,2256728832,2256729040,,2256729123,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712612,869,kBuy,kOpenLong,0.35705,2256749497,2256749605,2256749670,2256749728,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712613,870,kBuy,kOpenLong,0.35559,2256763848,2256763848,2256764145,2256764203,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712624,881,kBuy,kOpenLong,0.35555,2256934444,2256934596,,2256934790,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712625,882,kSell,kOpenShort,0.35595,2256938238,2256938238,2256938282,2256938383,marketable_at_accepted_stage_only,true,true,true,false,1,4,4,4,4,4,4,4,4,0,4,0,,source0;source1;source2;source3,true,true,false,1,0,true,true,false,1,0,true,true,false,1,0,true,true,false,1,0
288230376151712635,892,kBuy,kOpenLong,0.35543,2257127861,2257127861,,2257128402,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,0,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712670,927,kBuy,kOpenLong,0.35658,2257259822,2257259972,2257260111,2257260111,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712685,942,kSell,kOpenShort,0.35793,2257373531,2257373566,,2257373856,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712690,947,kSell,kOpenShort,0.35696,2257416622,2257416647,2257416794,2257416794,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712692,949,kSell,kOpenShort,0.35553,2257434421,2257434610,2257434659,2257434659,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712693,950,kSell,kOpenShort,0.35518,2257435734,2257435734,2257435909,2257435952,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712694,951,kSell,kOpenShort,0.35386,2257444198,2257444272,,2257444322,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,0,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
