run_id,local_order_id,exchange_order_id,symbol,symbol_id,order_role,status,side,order_price,price_tick,slippage_ticks,signal_lag_id,signal_lag_local_ns,signal_lag_age_ns,request_send_local_ns,place_creation_exchange_ns,terminal_event,terminal_exchange_ns,window_duration_ns,signal_marketability,creation_marketability,window_marketability,terminal_marketability,marketability_observation,bbo_records_at_creation,bbo_records_in_window,bbo_records_at_terminal,first_no_cross_after_send_ns,first_no_cross_opposite_price,missing_reason
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567756,1463520932741656580,BTWUSDT,95,entry,kCancelled,kSell,0.075996,1e-06,13,429788484917,1784656501940572318,3637313,1784656501943648477,1784656501946000000,cancel,1784656501948000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,4,1,1637199,0.075932,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567757,1463521276502618120,TACUSDT,411,entry,kCancelled,kBuy,0.003046,1e-06,1,374399897436,1784656583884133401,20495544,1784656583903505772,1784656583905000000,cancel,1784656583907000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,5,1,1106747,0.003047,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567758,1463522230027300864,BTWUSDT,95,entry,kPartiallyCancelled,kSell,0.075665,1e-06,13,429795776566,1784656811074828157,167057673,1784656811241068023,1784656811243000000,cancel,1784656811244000000,1000000,all_cross,missing,missing,missing,indeterminate,0,0,0,4291388,0.075466,missing_creation_bbo
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567759,1463522240722776091,BTWUSDT,95,exit,kFilled,kBuy,0.075419,1e-06,13,429795886664,1784656813792059154,1060019,1784656813792069290,1784656813793000000,exec,1784656813795000000,2000000,all_cross,all_cross,all_cross,all_cross,marketable_observed,1,2,1,,,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567760,1463522501646233600,1000XECUSDT,494,entry,kCancelled,kBuy,0.007393,1e-06,1,429797566222,1784656875998995433,2030373,1784656876000041434,1784656876002000000,cancel,1784656876003000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,1,1,1911769,0.007394,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567761,1463522763546963971,ALLOUSDT,25,entry,kCancelled,kSell,0.48577,1e-05,8,429799428365,1784656938442001015,1211102,1784656938442220669,1784656938444000000,cancel,1784656938445000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,7,1,107059,0.48572,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567762,1463523302330478594,DEXEUSDT,135,entry,kCancelled,kSell,8.826,0.001,7,429802693853,1784657066886042269,13590775,1784657066898601792,1784657066900000000,cancel,1784657066902000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,16,1,469315,8.825,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567763,1463523306839355400,DEXEUSDT,135,entry,kCancelled,kSell,8.792,0.001,7,429802726656,1784657067962894126,11396651,1784657067973404865,1784657067975000000,cancel,1784657067976000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,5,1,1144161,8.791,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567764,1463523799397445636,1000XECUSDT,494,entry,kCancelled,kBuy,0.007443,1e-06,1,429805859090,1784657185287020338,122106845,1784657185408116668,1784657185410000000,cancel,1784657185411000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,1,1,1169065,0.007444,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567765,1463524266466750475,DEXEUSDT,135,entry,kCancelled,kSell,8.696,0.001,7,429808767578,1784657296670620776,96471532,1784657296766482231,1784657296768000000,cancel,1784657296770000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,26,1,1158366,8.694,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567766,1463524305909985330,DEXEUSDT,135,entry,kCancelled,kSell,8.666,0.001,7,429809014599,1784657306155866857,16009965,1784657306171021290,1784657306172000000,cancel,1784657306174000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,8,1,1631224,8.665,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567767,1463524502169858069,DEXEUSDT,135,entry,kCancelled,kSell,8.661,0.001,7,429809993941,1784657352890635746,72898701,1784657352962908907,1784657352964000000,cancel,1784657352966000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,34,1,243454,8.66,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567768,1463524509572804616,BILLUSDT,77,entry,kCancelled,kBuy,0.02501,1e-05,1,429810041672,1784657354727019984,1110999,1784657354727119433,1784657354729000000,cancel,1784657354730000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,7,1,124231,0.02502,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567769,1463524519181955075,BILLUSDT,77,entry,kCancelled,kBuy,0.02511,1e-05,1,429810097337,1784657357017680592,1384574,1784657357018391493,1784657357020000000,cancel,1784657357022000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,5,1,1159154,0.02512,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567770,1463524568427278337,DEXEUSDT,135,entry,kCancelled,kSell,8.548,0.001,7,429810330431,1784657368759277955,416840,1784657368759426902,1784657368761000000,cancel,1784657368763000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,18,1,515206,8.545,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567771,1463524569098366977,ZBTUSDT,479,entry,kCancelled,kSell,0.09766,1e-05,2,429810337913,1784657368919047669,1453344,1784657368919458320,1784657368921000000,cancel,1784657368923000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,11,1,411687,0.09764,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567772,1463524659070382085,DEXEUSDT,135,entry,kCancelled,kSell,8.448,0.001,7,429810786812,1784657390370823135,900239,1784657390370909392,1784657390372000000,cancel,1784657390374000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,13,1,12317,8.447,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567773,1463524691618181120,DEXEUSDT,135,entry,kCancelled,kSell,8.285,0.001,7,429810954957,1784657398109751010,21166675,1784657398130175854,1784657398132000000,cancel,1784657398133000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,11,1,620047,8.284,
