run_id,signal_index,log_time,trigger_ticker_id,trigger_exchange,trigger_symbol_id,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260525_133511_12pair_live_2ticks,32,2026-05-25 14:11:07.758544788,10627614285980,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.646,288230376151711776,33,88664618535533635,entry,11,kEntrySubmit,kLong,5.648,0.001,2,177,kCancelled,0,0,,5992552,1779718267764560380,
20260525_133511_12pair_live_2ticks,33,2026-05-25 14:16:38.545692708,10627641507266,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,670.95,288230376151711777,34,206602634295849198,entry,13,kEntrySubmit,kLong,670.97,0.01,2,14,kCancelled,0,0,,10844881,1779718598592543699,
20260525_133511_12pair_live_2ticks,34,2026-05-25 14:16:41.623561761,10627641890946,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.659,288230376151711778,35,88664618535544528,entry,12,kEntrySubmit,kLong,5.661,0.001,2,176,kCancelled,0,0,,4978502,1779718601844543444,
20260525_133511_12pair_live_2ticks,35,2026-05-25 14:16:52.221407895,10627643065007,kBinance,12,INJ_USDT,12,kLead,kOpenShort,kSell,false,0,5.669,288230376151711779,36,88664618535545318,entry,13,kEntrySubmit,kShort,5.667,0.001,2,176,kCancelled,0,0,,3757262,1779718612260542616,
20260525_133511_12pair_live_2ticks,36,2026-05-25 14:17:43.314086307,10627648579342,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.655,288230376151711780,37,88664618535547252,entry,14,kEntrySubmit,kLong,5.657,0.001,2,176,kCancelled,0,0,,5451338,1779718663343545403,
20260525_133511_12pair_live_2ticks,37,2026-05-25 14:25:11.929101454,10627690114801,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.709,288230376151711781,38,88664618535567817,entry,15,kEntrySubmit,kLong,5.711,0.001,2,175,kCancelled,0,0,,5436427,1779719111940544403,
20260525_133511_12pair_live_2ticks,38,2026-05-25 14:26:12.157219813,10627696911036,kBinance,13,ENA_USDT,13,kLead,kOpenShort,kSell,false,0,0.1014,288230376151711782,39,61643021137151849,entry,1,kEntrySubmit,kShort,0.10138,1e-05,2,98,kCancelled,0,0,,5317203,1779719172492543442,
20260525_133511_12pair_live_2ticks,39,2026-05-25 14:26:12.171522396,10627696917057,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,672.89,288230376151711783,40,206602634295971010,entry,14,kEntrySubmit,kShort,672.87,0.01,2,14,kCancelled,0,0,,219023023,1779719172462551598,
20260525_133511_12pair_live_2ticks,40,2026-05-25 14:26:53.954794365,10627701469219,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,673.86,288230376151711784,41,206602634295976791,entry,15,kEntrySubmit,kLong,673.88,0.01,2,14,kCancelled,0,0,,17006394,1779719214007544591,
20260525_133511_12pair_live_2ticks,41,2026-05-25 14:27:24.906544274,10627704424737,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,674.25,288230376151711785,42,206602634295987938,entry,16,kEntrySubmit,kShort,674.23,0.01,2,14,kCancelled,0,0,,5995283,1779719244918550069,
20260525_133511_12pair_live_2ticks,42,2026-05-25 14:27:50.877706417,10627706484382,kBinance,1,ETH_USDT,1,kLead,kOpenLong,kBuy,false,0,2124.43,288230376151711786,43,63894851026697099,entry,1,kEntrySubmit,kLong,2124.45,0.01,2,4,kCancelled,0,0,,5833276,1779719270961545068,
20260525_133511_12pair_live_2ticks,43,2026-05-25 14:27:51.672015754,10627706764604,kBinance,12,INJ_USDT,12,kLead,kOpenShort,kSell,false,0,5.695,288230376151711787,44,88664618535575363,entry,16,kEntrySubmit,kShort,5.693,0.001,2,175,kCancelled,0,0,,3748513,1779719271903543207,
20260525_133511_12pair_live_2ticks,44,2026-05-25 14:27:57.441544824,10627707251089,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.68,288230376151711788,45,88664618535575994,entry,17,kEntrySubmit,kLong,5.682,0.001,2,175,kCancelled,0,0,,5998595,1779719277459543351,
20260525_133511_12pair_live_2ticks,45,2026-05-25 14:28:12.015543288,10627708626332,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.682,288230376151711789,46,88664618535576792,entry,18,kEntrySubmit,kLong,5.684,0.001,2,175,kCancelled,0,0,,5997969,1779719292027544255,
20260525_133511_12pair_live_2ticks,46,2026-05-25 14:30:22.721328838,10627720457275,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,673.2,288230376151711790,47,206602634296019571,entry,17,kEntrySubmit,kLong,673.22,0.01,2,14,kCancelled,0,0,,4210111,1779719422743544714,
20260525_133511_12pair_live_2ticks,47,2026-05-25 14:31:00.603448226,10627723491797,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,673.95,288230376151711791,48,206602634296025164,entry,18,kEntrySubmit,kLong,673.97,0.01,2,14,kCancelled,0,0,,5089161,1779719460650544246,
20260525_133511_12pair_live_2ticks,48,2026-05-25 14:31:18.622544067,10627725042710,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,676.99,288230376151711792,49,206602634296035497,entry,19,kEntrySubmit,kLong,677.01,0.01,2,14,kCancelled,0,0,,5995249,1779719478736544904,
20260525_133511_12pair_live_2ticks,49,2026-05-25 14:31:42.761571790,10627727394673,kBinance,7,SIREN_USDT,7,kLead,kOpenLong,kBuy,false,0,0.50304,288230376151711793,50,223491133160831607,entry,1,kEntrySubmit,kLong,0.50306,1e-05,2,1.9,kCancelled,0,0,,4969910,1779719502772543941,
20260525_133511_12pair_live_2ticks,50,2026-05-25 14:32:33.632238420,10627731955566,kBinance,4,PROVE_USDT,4,kLead,kOpenShort,kSell,false,0,0.273,288230376151711794,51,260082878984847487,entry,4,kEntrySubmit,kShort,0.2728,0.0001,2,36,kCancelled,0,0,,4887046,1779719553695552002,
20260525_133511_12pair_live_2ticks,51,2026-05-25 14:33:00.012544005,10627733844744,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,676.95,288230376151711795,52,206602634296084156,entry,20,kEntrySubmit,kLong,676.97,0.01,2,14,kCancelled,0,0,,5997373,1779719580054550521,
20260525_133511_12pair_live_2ticks,52,2026-05-25 14:33:01.884543657,10627734028652,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,677.64,288230376151711796,53,206602634296085891,entry,21,kEntrySubmit,kLong,677.66,0.01,2,14,kCancelled,0,0,,5999435,1779719581932543275,
20260525_133511_12pair_live_2ticks,53,2026-05-25 14:33:02.803231709,10627734254566,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,678.99,288230376151711797,54,206602634296088148,entry,22,kEntrySubmit,kLong,679.01,0.01,2,14,kCancelled,0,0,,5310832,1779719582868542570,
20260525_133511_12pair_live_2ticks,54,2026-05-25 14:33:02.815466751,10627734262989,kBinance,9,DASH_USDT,9,kLead,kOpenLong,kBuy,false,0,46.01,288230376151711798,55,51509920984625907,entry,2,kEntrySubmit,kLong,46.03,0.01,2,217,kCancelled,0,0,,5077712,1779719582874543025,
20260525_133511_12pair_live_2ticks,55,2026-05-25 14:33:02.868791282,10627734294737,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,680,288230376151711799,56,206602634296088605,entry,23,kEntrySubmit,kLong,680.02,0.01,2,14,kCancelled,0,0,,5756457,1779719582928543050,
20260525_133511_12pair_live_2ticks,56,2026-05-25 14:33:02.979436510,10627734320788,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,681.81,288230376151711800,57,206602634296089331,entry,24,kEntrySubmit,kShort,681.79,0.01,2,14,kCancelled,0,0,,3638136,1779719583084543650,
20260525_133511_12pair_live_2ticks,57,2026-05-25 14:33:10.361543997,10627735069496,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,681.61,288230376151711801,58,206602634296105916,entry,25,kEntrySubmit,kShort,681.59,0.01,2,14,kCancelled,0,0,,5998151,1779719590386544065,
20260525_133511_12pair_live_2ticks,58,2026-05-25 14:33:30.319958907,10627736723817,kBinance,9,DASH_USDT,9,kLead,kOpenLong,kBuy,false,0,46.12,288230376151711802,59,51509920984627179,entry,3,kEntrySubmit,kLong,46.14,0.01,2,216,kCancelled,0,0,,4578776,1779719610330544222,
