run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,ack_rtt_ns,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260525_133511_12pair_live_2ticks,288230376151711776,t-288230376151711776,33,144115188075855905,88664618535533635,INJ_USDT,12,10627614285980,kBinance,12,kLead,entry,11,kEntrySubmit,kLong,288230376151711776,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.646,5.648,5.648,0.001,2,2,177,177,0,177,177,0,0,0,0.1,,kNone,,,,,,0.00016,,,5992552,1779718267758555586,1779718267764548138,1779718267764560380,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711777,t-288230376151711777,34,144115188075855906,206602634295849198,ZEC_USDT,6,10627641507266,kBinance,6,kLead,entry,13,kEntrySubmit,kLong,288230376151711777,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,670.95,670.97,670.97,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,10844881,1779718598545702378,1779718598556547259,1779718598592543699,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711778,t-288230376151711778,35,144115188075855907,88664618535544528,INJ_USDT,12,10627641890946,kBinance,12,kLead,entry,12,kEntrySubmit,kLong,288230376151711778,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.659,5.661,5.661,0.001,2,2,176,176,0,176,176,0,0,0,0.1,,kNone,,,,,,0.00016,,,4978502,1779718601623567560,1779718601628546062,1779718601844543444,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711779,t-288230376151711779,36,144115188075855908,88664618535545318,INJ_USDT,12,10627643065007,kBinance,12,kLead,entry,13,kEntrySubmit,kShort,288230376151711779,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.669,5.667,5.667,0.001,2,2,176,176,0,176,176,0,0,0,0.1,,kNone,,,,,,0.00016,,,3757262,1779718612221413384,1779718612225170646,1779718612260542616,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711780,t-288230376151711780,37,144115188075855909,88664618535547252,INJ_USDT,12,10627648579342,kBinance,12,kLead,entry,14,kEntrySubmit,kLong,288230376151711780,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.655,5.657,5.657,0.001,2,2,176,176,0,176,176,0,0,0,0.1,,kNone,,,,,,0.00016,,,5451338,1779718663314097195,1779718663319548533,1779718663343545403,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711781,t-288230376151711781,38,144115188075855910,88664618535567817,INJ_USDT,12,10627690114801,kBinance,12,kLead,entry,15,kEntrySubmit,kLong,288230376151711781,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.709,5.711,5.711,0.001,2,2,175,175,0,175,175,0,0,0,0.1,,kNone,,,,,,0.00016,,,5436427,1779719111929112420,1779719111934548847,1779719111940544403,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711782,t-288230376151711782,39,144115188075855911,61643021137151849,ENA_USDT,13,10627696911036,kBinance,13,kLead,entry,1,kEntrySubmit,kShort,288230376151711782,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.1014,0.10138,0.10138,1e-05,2,2,98,98,0,98,98,0,0,0,10.0,,kNone,,,,,,0.00016,,,5317203,1779719172157230917,1779719172162548120,1779719172492543442,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711783,t-288230376151711783,40,144115188075855912,206602634295971010,ZEC_USDT,6,10627696917057,kBinance,6,kLead,entry,14,kEntrySubmit,kShort,288230376151711783,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,672.89,672.87,672.87,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,219023023,1779719172171523913,1779719172390546936,1779719172462551598,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711784,t-288230376151711784,41,144115188075855913,206602634295976791,ZEC_USDT,6,10627701469219,kBinance,6,kLead,entry,15,kEntrySubmit,kLong,288230376151711784,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,673.86,673.88,673.88,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,17006394,1779719213954803799,1779719213971810193,1779719214007544591,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711785,t-288230376151711785,42,144115188075855914,206602634295987938,ZEC_USDT,6,10627704424737,kBinance,6,kLead,entry,16,kEntrySubmit,kShort,288230376151711785,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,674.25,674.23,674.23,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,5995283,1779719244906552639,1779719244912547922,1779719244918550069,submitted_v1,
